Asset,Split,lag,empirical_acf,ou_implied_acf,abs_error,squared_error
BTC,train,158,-0.05402855844146954,1.2305015086138574e-09,0.054028559671971045,0.002919085260227736
BTC,train,159,-0.0548681509624711,1.0806629580072853e-09,0.054868152043134055,0.0030105141086284757
BTC,train,160,-0.055576529041397885,9.490702942124815e-10,0.05557652999046818,0.003088750685781409
BTC,train,161,-0.05572152823245152,8.335017099295206e-10,0.055721529065953235,0.0031048888014478713
BTC,train,162,-0.05611889973711731,7.320059480229576e-10,0.05611890046912326,0.003149330989863363
BTC,train,163,-0.05628189292876291,6.428693565443289e-10,0.05628189357163226,0.003167651544008541
BTC,train,164,-0.05667925809773069,5.645869554747907e-10,0.05667925866231764,0.0032125383625099093
BTC,train,165,-0.05636643507248606,4.958370266794844e-10,0.05636643556832308,0.0031771750586779175
BTC,train,166,-0.055391358173300057,4.3545879805104573e-10,0.05539135860875886,0.003068202608524124
BTC,train,167,-0.05421800425335977,3.8243284506188593e-10,0.05421800463579261,0.0029395920266868294
BTC,train,168,-0.053579108525322446,3.358638788255325e-10,0.053579108861186324,0.002870720906358855
BTC,train,169,-0.053956224508251535,2.9496563006108366e-10,0.05395622480321716,0.002911274195015307
BTC,train,170,-0.0547031373838227,2.590475737420023e-10,0.05470313764287028,0.0029924332679748112
BTC,train,171,-0.055275941409775674,2.2750327028854653e-10,0.05527594163727895,0.003055429723887868
BTC,train,172,-0.05564672543838941,1.9980012645681606e-10,0.05564672563818954,0.0030965580742519407
BTC,train,173,-0.055815513993972075,1.7547040304751803e-10,0.05581551416944248,0.003115371621999234
BTC,train,174,-0.05580349288923563,1.541033176088265e-10,0.05580349304333895,0.003114029835837979
BTC,train,175,-0.055464581140617794,1.3533810879556625e-10,0.0554645812759559,0.003076319776117118
BTC,train,176,-0.054718645692998814,1.1885794528353119e-10,0.05471864581185676,0.002994130199483429
BTC,train,177,-0.05417310484969387,1.0438457639719663e-10,0.05417310495407845,0.0029347253003655987
BTC,train,178,-0.05360409735958677,9.167363413215536e-11,0.05360409745126041,0.0028733992635642225
BTC,train,179,-0.053879973831585534,8.051050725173973e-11,0.05387997391209604,0.00290305158876815
BTC,train,180,-0.05459884930764574,7.070671779617861e-11,0.05459884937835246,0.0029810343534400186
BTC,train,181,-0.05593179743832061,6.209673882535885e-11,0.055931797500417345,0.003128365971627692
BTC,train,182,-0.056311239845093876,5.4535199666038366e-11,0.05631123989962908,0.003170955739033578
BTC,train,183,-0.05559726671764626,4.7894431476973526e-11,0.05559726676554069,0.0030910560717986955
BTC,train,184,-0.053906394339269,4.206231169134268e-11,0.05390639438133131,0.0029058993551956277
BTC,train,185,-0.05248865540213046,3.694037094208476e-11,0.05248865543907084,0.002755058949801501
BTC,train,186,-0.051475741050437895,3.244213050752706e-11,0.05147574108288003,0.002649751920031703
BTC,train,187,-0.0506077598736972,2.8491642206774753e-11,0.05060775990218884,0.0025611453623175925
BTC,train,188,-0.049284676174191695,2.5022206092492136e-11,0.0492846761992139,0.002428979308061361
BTC,train,189,-0.047361057242905326,2.1975244290631788e-11,0.04736105726488057,0.0022430697452472965
BTC,train,190,-0.04511751790471178,1.9299311973049474e-11,0.04511751792401109,0.002035590423623462
BTC,train,191,-0.04330376591510797,1.6949228764290675e-11,0.043303765932057196,0.0018752161438983974
BTC,train,192,-0.04271459791077334,1.4885315917242312e-11,0.042714597925658654,0.0018245368759506825
BTC,train,193,-0.04333371168983072,1.3072726378142087e-11,0.04333371170290344,0.0018778105699503505
BTC,train,194,-0.044186161796977486,1.1480856429779595e-11,0.044186161808458344,0.0019524168953632627
BTC,train,195,-0.044449213073362366,1.008282897908741e-11,0.044449213083445197,0.0019757325437375155
BTC,train,196,-0.04382095052740977,8.855039764962602e-12,0.043820950536264815,0.0019202757059017675
BTC,train,197,-0.042735017704418114,7.776758824502637e-12,0.04273501771219487,0.0018262817388616094
BTC,train,198,-0.04121389684221637,6.829780488821447e-12,0.04121389684904615,0.0016985852934838163
BTC,train,199,-0.04004417752896725,5.998115998983596e-12,0.04004417753496537,0.0016035361544518253
BTC,train,200,-0.039260470599783596,5.267723552191539e-12,0.03926047060505132,0.0015413845521300988
BTC,train,201,-0.0390726240774894,4.626271220332452e-12,0.03907262408211567,0.0015266699526623254
BTC,train,202,-0.03814755577785974,4.062928738007189e-12,0.03814755578192267,0.001455236012134902
BTC,train,203,-0.036736642434521634,3.5681846445955756e-12,0.03673664243808982,0.001349580897624062
BTC,train,204,-0.035063726866617226,3.1336856929891654e-12,0.035063726869750914,0.0012294649419964923
BTC,train,205,-0.03421686555867227,2.7520958135724505e-12,0.034216865561424364,0.0011707938888485887
BTC,train,206,-0.03349770610973271,2.4169722522038507e-12,0.03349770611214968,0.00112209631477595
BTC,train,207,-0.03232411040024433,2.122656790913202e-12,0.03232411040236698,0.0010448481133044094
BTC,train,208,-0.030507903383112656,1.8641802146886698e-12,0.030507903384976835,0.000930732168947081
